Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_1436,,hypothetical protein,265,1,144,127,64.79217604,99.21875,233.7152778,6.21E-45,3.64E-41,2.03E-43,1,1,1,1,1
group_1390,,Putative uncharacterized protein,117,122,292,6,28.60635697,4.6875,0.019705816,8.43E-45,4.94E-41,2.74E-43,1,1,1,1,1
group_237,,Transporter protein,256,0,153,128,62.59168704,100,inf,1.67E-44,9.79E-41,5.41E-43,1,1,0,1,1
group_207,cjeI,Type I restriction modification enzyme,7,71,402,57,1.711491443,44.53125,0.013979399,1.92E-44,1.12E-40,6.18E-43,1,1,1,1,1
group_458,,hypothetical protein,255,0,154,128,62.34718826,100,inf,2.52E-44,1.48E-40,8.07E-43,1,1,0,1,1
group_2443,,putative periplasmic protein,27,87,382,41,6.601466993,32.03125,0.033309262,4.57E-44,2.68E-40,1.46E-42,1,1,1,1,1
group_7,,hypothetical protein,406,63,3,65,99.26650367,50.78125,139.6296296,1.29E-43,7.56E-40,4.09E-42,1,1,1,1,1
group_1092,,hypothetical protein,292,7,117,121,71.39364303,94.53125,43.14041514,1.84E-43,1.08E-39,5.81E-42,1,1,1,1,1
fcl,,GDP-L-fucose synthetase,251,0,158,128,61.36919315,100,inf,2.62E-43,1.54E-39,8.17E-42,1,1,0,1,1
group_1442,,hypothetical protein,251,0,158,128,61.36919315,100,inf,2.62E-43,1.54E-39,8.17E-42,1,1,0,1,1
group_2000,,hypothetical protein,0,59,409,69,0,53.90625,0,5.26E-43,3.09E-39,1.63E-41,1,0,1,1,1
group_200,,Chemotaxis sensory transducer,152,127,257,1,37.16381418,0.78125,0.004657005,8.28E-43,4.85E-39,2.55E-41,1,1,1,1,1
group_379,,SAM-dependent methyltransferase,0,58,409,70,0,54.6875,0,3.60E-42,2.11E-38,1.11E-40,1,0,1,1,1
group_65,,hypothetical protein (617 family),382,44,27,84,93.39853301,65.625,27.01010101,1.95E-41,1.14E-37,5.96E-40,1,1,1,1,1
group_191,,Putative uncharacterized protein,14,74,395,54,3.422982885,42.1875,0.025863839,3.55E-41,2.08E-37,1.08E-39,1,1,1,1,1
